p sp 100 7698
c
a 1 3 817
a 3 1 817
a 1 4 144
a 4 1 144
a 1 5 947
a 5 1 947
a 1 6 790
a 6 1 790
a 1 8 598
a 8 1 598
a 1 9 216
a 9 1 216
a 1 10 549
a 10 1 549
a 1 11 523
a 11 1 523
a 1 12 722
a 12 1 722
a 1 13 752
a 13 1 752
a 1 14 730
a 14 1 730
a 1 17 647
a 17 1 647
a 1 19 194
a 19 1 194
a 1 22 387
a 22 1 387
a 1 23 535
a 23 1 535
a 1 24 321
a 24 1 321
a 1 25 250
a 25 1 250
a 1 26 774
a 26 1 774
a 1 27 120
a 27 1 120
a 1 29 244
a 29 1 244
a 1 32 411
a 32 1 411
a 1 34 198
a 34 1 198
a 1 36 514
a 36 1 514
a 1 39 351
a 39 1 351
a 1 40 846
a 40 1 846
a 1 41 881
a 41 1 881
a 1 42 350
a 42 1 350
a 1 43 266
a 43 1 266
a 1 44 872
a 44 1 872
a 1 45 729
a 45 1 729
a 1 46 947
a 46 1 947
a 1 47 816
a 47 1 816
a 1 49 188
a 49 1 188
a 1 50 432
a 50 1 432
a 1 51 940
a 51 1 940
a 1 52 398
a 52 1 398
a 1 54 841
a 54 1 841
a 1 56 780
a 56 1 780
a 1 57 895
a 57 1 895
a 1 58 139
a 58 1 139
a 1 59 467
a 59 1 467
a 1 60 806
a 60 1 806
a 1 61 884
a 61 1 884
a 1 62 422
a 62 1 422
a 1 63 649
a 63 1 649
a 1 64 432
a 64 1 432
a 1 65 418
a 65 1 418
a 1 67 288
a 67 1 288
a 1 68 642
a 68 1 642
a 1 72 893
a 72 1 893
a 1 73 335
a 73 1 335
a 1 75 120
a 75 1 120
a 1 76 730
a 76 1 730
a 1 77 485
a 77 1 485
a 1 79 732
a 79 1 732
a 1 80 935
a 80 1 935
a 1 81 360
a 81 1 360
a 1 82 941
a 82 1 941
a 1 83 416
a 83 1 416
a 1 84 942
a 84 1 942
a 1 85 838
a 85 1 838
a 1 86 173
a 86 1 173
a 1 87 171
a 87 1 171
a 1 89 100
a 89 1 100
a 1 90 381
a 90 1 381
a 1 91 398
a 91 1 398
a 1 92 105
a 92 1 105
a 1 93 980
a 93 1 980
a 1 95 542
a 95 1 542
a 1 96 533
a 96 1 533
a 1 97 456
a 97 1 456
a 1 98 557
a 98 1 557
a 1 100 334
a 100 1 334
a 2 3 134
a 3 2 134
a 2 4 894
a 4 2 894
a 2 9 459
a 9 2 459
a 2 10 821
a 10 2 821
a 2 12 336
a 12 2 336
a 2 14 929
a 14 2 929
a 2 15 602
a 15 2 602
a 2 16 243
a 16 2 243
a 2 18 211
a 18 2 211
a 2 19 325
a 19 2 325
a 2 20 918
a 20 2 918
a 2 21 529
a 21 2 529
a 2 22 460
a 22 2 460
a 2 23 109
a 23 2 109
a 2 24 362
a 24 2 362
a 2 25 850
a 25 2 850
a 2 27 407
a 27 2 407
a 2 31 702
a 31 2 702
a 2 32 630
a 32 2 630
a 2 33 925
a 33 2 925
a 2 34 819
a 34 2 819
a 2 36 521
a 36 2 521
a 2 38 377
a 38 2 377
a 2 41 448
a 41 2 448
a 2 43 149
a 43 2 149
a 2 44 708
a 44 2 708
a 2 45 587
a 45 2 587
a 2 46 997
a 46 2 997
a 2 47 688
a 47 2 688
a 2 48 851
a 48 2 851
a 2 49 626
a 49 2 626
a 2 52 330
a 52 2 330
a 2 53 227
a 53 2 227
a 2 55 912
a 55 2 912
a 2 56 759
a 56 2 759
a 2 57 856
a 57 2 856
a 2 58 883
a 58 2 883
a 2 59 417
a 59 2 417
a 2 60 854
a 60 2 854
a 2 62 505
a 62 2 505
a 2 64 270
a 64 2 270
a 2 66 582
a 66 2 582
a 2 67 412
a 67 2 412
a 2 68 705
a 68 2 705
a 2 69 776
a 69 2 776
a 2 70 543
a 70 2 543
a 2 71 123
a 71 2 123
a 2 73 959
a 73 2 959
a 2 74 234
a 74 2 234
a 2 75 232
a 75 2 232
a 2 76 152
a 76 2 152
a 2 77 507
a 77 2 507
a 2 78 761
a 78 2 761
a 2 79 977
a 79 2 977
a 2 80 421
a 80 2 421
a 2 81 773
a 81 2 773
a 2 82 192
a 82 2 192
a 2 83 295
a 83 2 295
a 2 84 617
a 84 2 617
a 2 85 447
a 85 2 447
a 2 86 784
a 86 2 784
a 2 87 449
a 87 2 449
a 2 88 625
a 88 2 625
a 2 89 244
a 89 2 244
a 2 90 245
a 90 2 245
a 2 91 369
a 91 2 369
a 2 92 272
a 92 2 272
a 2 93 940
a 93 2 940
a 2 94 432
a 94 2 432
a 2 95 794
a 95 2 794
a 2 96 565
a 96 2 565
a 2 97 780
a 97 2 780
a 2 98 897
a 98 2 897
a 2 99 308
a 99 2 308
a 2 100 919
a 100 2 919
a 3 4 828
a 4 3 828
a 3 5 540
a 5 3 540
a 3 6 453
a 6 3 453
a 3 7 762
a 7 3 762
a 3 8 352
a 8 3 352
a 3 9 733
a 9 3 733
a 3 10 127
a 10 3 127
a 3 11 975
a 11 3 975
a 3 12 572
a 12 3 572
a 3 14 444
a 14 3 444
a 3 15 230
a 15 3 230
a 3 16 910
a 16 3 910
a 3 17 569
a 17 3 569
a 3 18 367
a 18 3 367
a 3 19 818
a 19 3 818
a 3 20 386
a 20 3 386
a 3 21 290
a 21 3 290
a 3 22 431
a 22 3 431
a 3 24 596
a 24 3 596
a 3 25 976
a 25 3 976
a 3 26 459
a 26 3 459
a 3 27 843
a 27 3 843
a 3 28 527
a 28 3 527
a 3 30 410
a 30 3 410
a 3 32 953
a 32 3 953
a 3 33 718
a 33 3 718
a 3 35 434
a 35 3 434
a 3 36 142
a 36 3 142
a 3 39 161
a 39 3 161
a 3 41 248
a 41 3 248
a 3 42 967
a 42 3 967
a 3 47 914
a 47 3 914
a 3 48 722
a 48 3 722
a 3 49 508
a 49 3 508
a 3 50 422
a 50 3 422
a 3 51 831
a 51 3 831
a 3 52 285
a 52 3 285
a 3 53 696
a 53 3 696
a 3 54 760
a 54 3 760
a 3 55 511
a 55 3 511
a 3 56 150
a 56 3 150
a 3 57 754
a 57 3 754
a 3 58 348
a 58 3 348
a 3 59 564
a 59 3 564
a 3 60 230
a 60 3 230
a 3 61 614
a 61 3 614
a 3 62 177
a 62 3 177
a 3 63 429
a 63 3 429
a 3 64 227
a 64 3 227
a 3 65 668
a 65 3 668
a 3 67 249
a 67 3 249
a 3 68 254
a 68 3 254
a 3 69 496
a 69 3 496
a 3 71 880
a 71 3 880
a 3 72 768
a 72 3 768
a 3 73 845
a 73 3 845
a 3 74 837
a 74 3 837
a 3 76 599
a 76 3 599
a 3 77 312
a 77 3 312
a 3 78 433
a 78 3 433
a 3 79 614
a 79 3 614
a 3 80 748
a 80 3 748
a 3 81 748
a 81 3 748
a 3 82 113
a 82 3 113
a 3 84 362
a 84 3 362
a 3 86 121
a 86 3 121
a 3 87 847
a 87 3 847
a 3 88 415
a 88 3 415
a 3 89 585
a 89 3 585
a 3 91 705
a 91 3 705
a 3 93 317
a 93 3 317
a 3 94 805
a 94 3 805
a 3 95 499
